start	end
2009-04-20 04:28:00	2009-04-20 04:32:30
2009-05-18 17:20:30	2009-09-14 00:00:30
2009-09-14 00:20:30	2009-09-14 19:56:30
2009-09-15 01:50:30	2009-09-16 00:00:30
2009-09-16 03:53:00	2009-09-16 18:09:00
2009-09-17 06:02:30	2009-09-18 00:00:30
2009-09-18 09:03:30	2009-09-18 17:25:30
2009-09-19 12:18:30	2009-09-20 00:00:30
2009-09-20 10:29:30	2009-09-20 17:18:45
2009-09-21 12:44:30	2009-09-22 00:00:30
2009-09-22 08:34:30	2009-09-22 17:23:00
2009-09-23 10:23:30	2009-09-24 00:00:30
2009-09-24 11:35:30	2009-09-24 16:51:30
2009-09-25 14:13:30	2009-09-26 00:00:30
2009-09-26 10:16:30	2009-09-26 16:29:30
2009-09-28 12:01:30	2009-09-29 00:00:30
2009-09-29 17:25:30	2009-09-29 17:28:45
2009-12-13 23:59:45	2009-12-15 00:00:30
