start	end
2014-01-18 23:59:30	2014-01-19 02:06:00
2014-04-08 12:34:45	2014-09-16 22:10:15
2014-09-17 03:27:15	2014-09-17 20:26:00
2014-09-17 21:38:30	2014-09-17 23:09:45
2014-09-18 00:28:30	2014-09-18 01:52:00
2014-09-18 02:29:00	2014-09-18 20:19:30
2014-09-19 04:19:00	2014-09-19 20:36:45
2014-09-20 04:58:00	2014-09-20 18:51:00
2014-09-21 03:45:30	2014-09-21 19:38:30
2014-09-22 04:14:45	2014-09-22 20:06:15
2014-09-23 08:33:00	2014-09-24 20:34:45
2014-09-25 05:54:00	2014-09-25 17:04:15
2014-09-26 10:43:00	2014-09-26 20:00:30
2014-09-27 06:26:15	2014-09-27 18:07:30
2014-09-28 02:14:15	2014-09-28 17:07:30
2014-09-28 17:44:00	2014-09-28 18:06:30
2014-09-28 19:30:45	2014-09-28 19:49:15
2014-09-29 04:12:45	2014-09-29 17:15:00
2014-09-30 07:53:45	2014-09-30 16:28:15
2014-10-01 04:43:00	2014-10-01 17:48:45
2014-10-01 19:16:45	2014-10-01 19:42:45
2014-10-02 04:05:45	2014-10-02 17:18:45
2014-10-03 09:38:45	2014-10-03 15:14:45
2014-10-03 16:19:15	2014-10-03 16:44:30
2014-10-04 09:01:45	2014-10-04 14:02:30
2014-10-04 14:30:30	2014-10-04 15:13:30
2014-10-04 15:29:00	2014-10-04 15:44:45
2014-10-05 08:06:45	2014-10-05 12:08:45
2014-10-05 12:21:30	2014-10-05 12:52:00
2014-10-05 12:59:30	2014-10-05 13:15:45
2014-10-05 13:20:00	2014-10-05 13:32:45
2014-10-05 13:35:30	2014-10-05 13:45:00
2014-10-05 13:47:15	2014-10-05 13:54:30
2014-10-05 13:57:00	2014-10-05 14:02:45
2014-10-05 14:05:45	2014-10-05 14:11:45
2014-10-05 14:14:00	2014-10-05 14:19:15
2014-10-05 14:21:45	2014-10-05 14:26:00
2014-10-05 14:29:30	2014-10-05 14:33:30
2014-10-05 14:36:30	2014-10-05 14:40:15
2014-10-05 14:43:00	2014-10-05 14:46:30
2014-10-05 15:03:30	2014-10-05 15:08:15
2014-10-05 15:11:45	2014-10-05 15:15:00
2014-10-05 15:20:30	2014-10-05 15:23:45
2014-10-05 15:30:45	2014-10-05 18:47:00
2014-10-06 09:29:00	2014-10-06 12:21:00
2014-10-06 12:34:45	2014-10-06 13:17:00
2014-10-06 13:25:30	2014-10-06 13:49:00
2014-10-06 13:57:30	2014-10-06 14:13:00
2014-10-06 14:18:00	2014-10-06 14:26:30
2014-10-06 14:30:45	2014-10-06 14:38:00
2014-10-06 14:43:00	2014-10-06 14:49:30
2014-10-06 14:54:15	2014-10-06 15:00:30
2014-10-06 15:05:00	2014-10-06 19:08:00
