start	end
2004-01-01 00:00:00	2004-11-12 04:15:00
2004-11-12 22:55:00	2004-11-13 00:05:00
2004-11-13 22:55:00	2004-11-13 23:45:00
2004-11-13 23:50:00	2004-11-14 00:05:00
2004-11-14 23:50:00	2004-11-15 00:05:00
2004-11-15 23:50:00	2004-11-16 00:05:00
2004-11-16 23:50:00	2004-11-17 00:05:00
2004-11-17 23:50:00	2004-11-18 00:05:00
2004-11-18 23:50:00	2004-11-19 00:05:00
2004-11-19 23:50:00	2004-11-20 00:05:00
2004-11-20 23:50:00	2004-11-21 00:05:00
2004-11-21 23:50:00	2004-11-22 00:05:00
2004-11-22 23:50:00	2004-11-23 00:05:00
2004-11-23 23:50:00	2004-11-24 00:05:00
2004-11-24 23:50:00	2004-11-25 00:05:00
2004-11-25 23:50:00	2004-11-26 00:05:00
2004-11-26 23:50:00	2004-11-27 00:05:00
2004-11-27 23:50:00	2004-11-28 00:05:00
2004-11-28 23:50:00	2004-11-29 00:05:00
2004-11-29 23:50:00	2004-11-30 00:05:00
2004-11-30 23:50:00	2004-12-01 00:05:00
2004-12-01 23:50:00	2004-12-02 00:05:00
2004-12-02 23:50:00	2004-12-03 00:05:00
2004-12-03 23:50:00	2004-12-04 00:05:00
2004-12-04 23:50:00	2004-12-05 00:05:00
2004-12-05 23:50:00	2004-12-06 00:05:00
2004-12-06 23:50:00	2004-12-07 00:05:00
2004-12-07 23:50:00	2004-12-08 00:05:00
2004-12-08 23:50:00	2004-12-09 00:05:00
2004-12-09 23:50:00	2004-12-10 00:05:00
2004-12-10 23:50:00	2004-12-11 00:05:00
2004-12-11 23:50:00	2004-12-12 00:05:00
2004-12-12 23:50:00	2004-12-13 00:05:00
2004-12-13 23:50:00	2004-12-14 00:05:00
2004-12-14 23:50:00	2004-12-15 00:05:00
2004-12-15 23:50:00	2004-12-16 00:05:00
2004-12-16 23:50:00	2004-12-17 00:05:00
2004-12-17 23:50:00	2004-12-18 00:05:00
2004-12-18 23:50:00	2004-12-19 00:05:00
2004-12-19 23:50:00	2004-12-20 00:05:00
2004-12-20 23:50:00	2004-12-21 00:05:00
2004-12-21 23:50:00	2004-12-22 00:05:00
2004-12-22 23:50:00	2004-12-23 00:05:00
2004-12-23 23:50:00	2004-12-24 00:05:00
2004-12-24 23:50:00	2004-12-25 00:05:00
2004-12-25 23:50:00	2004-12-26 00:05:00
2004-12-26 23:50:00	2004-12-27 00:05:00
2004-12-27 23:50:00	2004-12-28 00:05:00
2004-12-28 23:50:00	2004-12-29 00:05:00
2004-12-29 01:05:00	2004-12-31 23:59:45
