X Y Justification Station 
-274167.5714836475 -565854.4692938774 BL LA03
-271780.18762926606 -563464.7208073688 BL WS04
-230123.96670322662 -573599.7341722593 BL LA10
-281374.1048134691 -531440.1619703487 BL LA04
-268357.6385244207 -519001.90604488767 BL LA05
-283164.5985829391 -513010.53034769 BR LA08
-295753.02721526584 -502148.5889405157 BR LA12
-267593.2847080025 -556139.1600068143 BL LA13
-180143.37781534722 -557847.2112602778 BL MG03
-182176.78289827905 -560541.5722558529 BL MG04
-185786.03772468015 -565333.3717473242 BL MG05
-189397.50455483465 -570126.9216815671 BL MG06
-185368.47922303752 -558137.3235612281 BR MG07
