X Y JUSTIFICATION Station
-178909.53384553097 -610614.1591839108 TL GZ01
-173209.98501385303 -609188.7892642792 TL GZ02
-167494.4396613475 -607755.8186833516 TL GZ03
-161766.08545495023 -606307.6518345004 TL GZ04
-156095.6916323168 -604782.339773115 TL GZ05
-174602.69872811402 -603512.6375922137 TL GZ06
-168964.954854684 -602072.946703987 TL GZ07
-163321.75398628844 -600601.3507425975 TL GZ08
-171769.54453711602 -614892.1468415147 TL GZ09
-165975.00022647242 -613474.1869217791 TL GZ10
-160255.8243086062 -611991.9933061587 TL GZ11
-175876.30576717664 -589347.6542060309 TL GZ12
-180715.69327792517 -585586.7717373644 TL GZ13
-170919.8072192283 -593223.2841982592 TL GZ14
-165998.66239923806 -597055.776009353 TL GZ15
-173450.66150684943 -598623.8778960502 TL GZ17
-168208.6809586139 -587957.9732052964 TL GZ18
-173784.93051572266 -590929.5221376611 TL GZ19
