X Y Justification Station 
-269554.8149070051 -555952.4827885611 TL la01
-291082.87722034677 -504837.93292452843 TL la02
-267890.2933700194 -549697.7773236141 TL la06
-254506.0689165796 -529056.0694016337 TL la07
-277784.12517380115 -560468.2428593492 TL la09
-280908.95917709544 -562240.2589122138 TR la11
-228616.13890654128 -554448.9876019752 TL la14
-234584.71828566297 -554458.9782943685 TR la15
-203982.24774160824 -558415.5464591305 TL la16
-295794.4436628938 -502073.72147959383 TR la17
-276929.35577370954 -512591.9493048021 TL la18
-278736.38128096657 -560023.6747932644 TR slw1
-276014.3416305961 -562398.1351033684 TL ws05 
-283166.712139 -513009.553391 TR whl02
-268358.330277 -519001.62701 TL whl03
-281407.670736 -531427.323253 TL whl07
-269555.617198 -555952.060503 TR whl09
-230182.249247 -573562.538447 TL whl11
-178566.2348475963 -555755.1814242837 TL mg01
-179356.9589639595 -556802.0001891556 TR mg02
