StartTime,EndTime,XX,XX,XX,XX
2008.0021503942,2008.0022184386,0.0000000000,0.0000000000,0.0010055444,-0.2765592718
2008.0039271079,2008.0039800313,0.0000000000,0.0000000000,0.0017086694,0.2718366923
2008.0049780152,2008.0050332067,0.0000000000,0.0000000000,0.0009979839,-0.4210849713
2008.0067418761,2008.0067947994,0.0000000000,0.0000000000,0.0017086694,0.4093917197
2008.0078230252,2008.0078835091,0.0000000000,0.0000000000,0.0010282258,-0.5844685196
2008.0095543761,2008.0096148599,0.0000000000,0.0000000000,0.0016708669,0.5343481597
2008.0106657672,2008.0107512007,0.0000000000,0.0000000000,0.0010509073,-0.7247612048
2008.0152950515,2008.0153706563,0.0000000000,0.0000000000,0.0045438508,0.6702673741
2008.0164518055,2008.0165296785,0.0000000000,0.0000000000,0.0010811492,-0.9957427446
2008.0181476220,2008.0182156664,0.0000000000,0.0000000000,0.0016179435,0.7067151854
2008.0210130454,2008.0210810898,0.0000000000,0.0000000000,0.0027973790,0.6908966749
2008.0220034688,2008.0220813418,0.0000000000,0.0000000000,0.0009223790,-0.9719807781
2008.0237144063,2008.0237900111,0.0000000000,0.0000000000,0.0016330645,0.7696899886
2008.0248635998,2008.0249316442,0.0000000000,0.0000000000,0.0010735887,-0.9331358652
2008.0265722692,2008.0266327531,0.0000000000,0.0000000000,0.0016406250,0.6794134494
2008.0293602003,2008.0294247115,0.0000000000,0.0000000000,0.0027274472,0.5920152703
2008.0304984285,2008.0305891543,0.0000000000,0.0000000000,0.0010737170,-0.6693974700
2008.0321163720,2008.0322093660,0.0000000000,0.0000000000,0.0015272177,0.4677970147
2008.0346967652,2008.0347723700,0.0000000000,0.0000000000,0.0024873992,0.2899102825
2008.0362391039,2008.0362995877,0.0000000000,0.0000000000,0.0014667339,-0.1229973075
2008.0377058377,2008.0378063922,0.0000000000,0.0000000000,0.0014062500,0.0120821277
2008.0394999406,2008.0395906664,0.0000000000,0.0000000000,0.0016935484,0.2554209356
2008.0424258478,2008.0425090132,0.0000000000,0.0000000000,0.0028351815,0.3470249250
2008.0450667248,2008.0451498902,0.0000000000,0.0000000000,0.0025577117,0.6334976079
2008.0460798297,2008.0461478740,0.0000000000,0.0000000000,0.0009299395,-0.7583479393
2008.0477431361,2008.0478210091,0.0000000000,0.0000000000,0.0015952621,0.7998435758
2008.0486526623,2008.0487358277,0.0000000000,0.0000000000,0.0008316532,-0.4676765268
2008.0506335091,2008.0506939930,0.0000000000,0.0000000000,0.0018976815,0.8773527307
2008.0515256462,2008.0515936906,0.0000000000,0.0000000000,0.0008316532,-0.6146870012
2008.0534989325,2008.0535768055,0.0000000000,0.0000000000,0.0019052419,0.9076280864
2008.0543555353,2008.0544462611,0.0000000000,0.0000000000,0.0007787298,-0.6197727006
2008.0563401260,2008.0563970475,0.0000000000,0.0000000000,0.0018938648,0.8831586896
2008.0572024893,2008.0572736415,0.0000000000,0.0000000000,0.0008054418,-0.6527116602
2008.0591511082,2008.0592118246,0.0000000000,0.0000000000,0.0018774667,0.7836834473
2008.0600281664,2008.0601113317,0.0000000000,0.0000000000,0.0008163418,-0.5935237926
2008.0619863317,2008.0620316946,0.0000000000,0.0000000000,0.0018750000,0.6464818795
2008.0629162712,2008.0629994365,0.0000000000,0.0000000000,0.0008845766,-0.6978033258
2008.0648063922,2008.0648993861,0.0000000000,0.0000000000,0.0018069556,0.4600772863
2008.0657764023,2008.0658595676,0.0000000000,0.0000000000,0.0008770161,-0.6493478246
2008.0677345676,2008.0678177329,0.0000000000,0.0000000000,0.0018750000,0.3006118830
2008.0702144063,2008.0703074002,0.0000000000,0.0000000000,0.0023966734,0.0845177426
2008.0714339123,2008.0715246382,0.0000000000,0.0000000000,0.0011265121,-0.2985248122
2008.0729686906,2008.0730367349,0.0000000000,0.0000000000,0.0014440524,0.0276776404
2008.0752292752,2008.0753147087,0.0000000000,0.0000000000,0.0021925403,0.2048226493
2008.0777491845,2008.0778323498,0.0000000000,0.0000000000,0.0024344758,0.1837759766
2008.0788076523,2008.0788605757,0.0000000000,0.0000000000,0.0009753024,-0.3151927552
2008.0802895071,2008.0803673801,0.0000000000,0.0000000000,0.0014289315,0.3910111746
2008.0814409688,2008.0815090132,0.0000000000,0.0000000000,0.0010735887,-0.1385139355
2008.0830664728,2008.0831571986,0.0000000000,0.0000000000,0.0015574597,0.5644010323
2008.0842081059,2008.0842912712,0.0000000000,0.0000000000,0.0010509073,-0.1083770675
2008.0858940938,2008.0859492853,0.0000000000,0.0000000000,0.0016028226,0.6710742116
2008.0870304345,2008.0870984789,0.0000000000,0.0000000000,0.0010811492,-0.1602920395
2008.0886937410,2008.0887769063,0.0000000000,0.0000000000,0.0015952621,0.7538294459
2008.0898051321,2008.0899034184,0.0000000000,0.0000000000,0.0010282258,-0.1449838291
2008.0915667248,2008.0916294769,0.0000000000,0.0000000000,0.0016633065,0.7486129455
2008.0926803841,2008.0927786704,0.0000000000,0.0000000000,0.0010509073,-0.3288077968
2008.0944117349,2008.0945100212,0.0000000000,0.0000000000,0.0016330645,0.7384013009
2008.0955231261,2008.0956138519,0.0000000000,0.0000000000,0.0010131048,-0.4721262492
2008.0973376422,2008.0974003942,0.0000000000,0.0000000000,0.0017237903,0.6905531045
2008.0985344668,2008.0986025111,0.0000000000,0.0000000000,0.0011340726,-0.8901518904
2008.1002582571,2008.1003565434,0.0000000000,0.0000000000,0.0016557460,0.6670572330
2008.1029724708,2008.1030654648,0.0000000000,0.0000000000,0.0026159274,0.5935314677
2008.1040332067,2008.1040785696,0.0000000000,0.0000000000,0.0009677419,-0.7110613167
2008.1057872390,2008.1058704043,0.0000000000,0.0000000000,0.0017086694,0.4710727105
2008.1082897591,2008.1083676321,0.0000000000,0.0000000000,0.0024193548,0.0894020755
2008.1095017047,2008.1095621886,0.0000000000,0.0000000000,0.0011340726,-0.3855078132
2008.1111650111,2008.1112179345,0.0000000000,0.0000000000,0.0016028226,-0.0713672924
2008.1133197490,2008.1133900615,0.0000000000,0.0000000000,0.0021018145,0.1647286468
2008.1150231261,2008.1150987309,0.0000000000,0.0000000000,0.0016330645,-0.1929291477
2008.1162403640,2008.1163235293,0.0000000000,0.0000000000,0.0011416331,0.1487334083
2008.1185916744,2008.1186695474,0.0000000000,0.0000000000,0.0022681452,0.5657566614
2008.1200757974,2008.1201589627,0.0000000000,0.0000000000,0.0014062500,-0.5435729732
2008.1214442450,2008.1215198498,0.0000000000,0.0000000000,0.0012852823,0.7067760928
2008.1226992853,2008.1227748902,0.0000000000,0.0000000000,0.0011794355,-0.7053740459
2008.1241962611,2008.1242665736,0.0000000000,0.0000000000,0.0014213710,0.7834251245
2008.1252796785,2008.1253552833,0.0000000000,0.0000000000,0.0010131048,-0.4423356073
2008.1270034688,2008.1270715132,0.0000000000,0.0000000000,0.0016481855,0.7839523976
2008.1280165736,2008.1280921785,0.0000000000,0.0000000000,0.0009450605,-0.1867047809
2008.1297932873,2008.1298635998,0.0000000000,0.0000000000,0.0017011089,0.7207001644
2008.1307330555,2008.1308086603,0.0000000000,0.0000000000,0.0008694556,0.1792607682
2008.1325778136,2008.1326760998,0.0000000000,0.0000000000,0.0017691532,0.6074715153
2008.1335606765,2008.1336287208,0.0000000000,0.0000000000,0.0008845766,0.2658958254
2008.1354810394,2008.1355589123,0.0000000000,0.0000000000,0.0018523185,0.4239011890
2008.1364510494,2008.1365342148,0.0000000000,0.0000000000,0.0008921371,0.1331595523
2008.1383184890,2008.1384092148,0.0000000000,0.0000000000,0.0017842742,0.2489518955
2008.1392937914,2008.1393845172,0.0000000000,0.0000000000,0.0008845766,0.0849447890
2008.1415543761,2008.1416549305,0.0000000000,0.0000000000,0.0021698589,0.4217656648
2008.1434543257,2008.1435374910,0.0000000000,0.0000000000,0.0017993952,0.2368262300
2008.1446640031,2008.1447320474,0.0000000000,0.0000000000,0.0011265121,0.3766252423
2008.1461685394,2008.1462743861,0.0000000000,0.0000000000,0.0014364919,0.1911545928
2008.1476579547,2008.1477207067,0.0000000000,0.0000000000,0.0013835685,0.1181972415
2008.1492403640,2008.1493235293,0.0000000000,0.0000000000,0.0015196573,-0.0380448426
2008.1516748398,2008.1517428841,0.0000000000,0.0000000000,0.0023513105,0.1616644950
2008.1539732269,2008.1540586603,0.0000000000,0.0000000000,0.0022303427,0.3078988531
2008.1553439426,2008.1554044265,0.0000000000,0.0000000000,0.0012852823,-0.3112578643
2008.1567048297,2008.1567804345,0.0000000000,0.0000000000,0.0013004032,0.5083162687
2008.1580203539,2008.1580883982,0.0000000000,0.0000000000,0.0012399194,-0.2229734342
2008.1594870877,2008.1595498398,0.0000000000,0.0000000000,0.0013986895,0.6769882470
2008.1607519567,2008.1608351220,0.0000000000,0.0000000000,0.0012021169,-0.1265663236
2008.1622489325,2008.1623094164,0.0000000000,0.0000000000,0.0014138105,0.7859258167
2008.1635190938,2008.1635795777,0.0000000000,0.0000000000,0.0012096774,-0.0565989605
2008.1650538720,2008.1651166240,0.0000000000,0.0000000000,0.0014742944,0.8494934162
2008.1663641039,2008.1664094668,0.0000000000,0.0000000000,0.0012474798,-0.0685922018
2008.1678988821,2008.1679669265,0.0000000000,0.0000000000,0.0014894153,0.8634788204
2008.1691312410,2008.1692144063,0.0000000000,0.0000000000,0.0011643145,-0.0343564216
2008.1707340636,2008.1708043761,0.0000000000,0.0000000000,0.0015196573,0.8046229881
2008.1719308881,2008.1720064930,0.0000000000,0.0000000000,0.0011265121,-0.0481635713
2008.1735563922,2008.1736546785,0.0000000000,0.0000000000,0.0015498992,0.6804497225
2008.1748114325,2008.1748794769,0.0000000000,0.0000000000,0.0011567540,-0.2074736801
2008.1767393559,2008.1768096684,0.0000000000,0.0000000000,0.0018598790,0.4453446997
2008.1792895071,2008.1793726724,0.0000000000,0.0000000000,0.0024798387,0.2678344364
2008.1803630958,2008.1804613821,0.0000000000,0.0000000000,0.0009904234,-0.1238054496
2008.1825707571,2008.1826561906,0.0000000000,0.0000000000,0.0021093750,0.3871865198
2008.1840700011,2008.1841380454,0.0000000000,0.0000000000,0.0014138105,-0.0135563029
2008.1854308881,2008.1854838115,0.0000000000,0.0000000000,0.0012928427,0.3108804611
2008.1868144567,2008.1868900615,0.0000000000,0.0000000000,0.0013306452,0.1470210734
2008.1883794769,2008.1884497894,0.0000000000,0.0000000000,0.0014894153,0.2365857219
2008.1896141039,2008.1896897087,0.0000000000,0.0000000000,0.0011643145,0.3709709965
2008.1920637007,2008.1921619869,0.0000000000,0.0000000000,0.0023739919,0.2277322812
2008.1947325515,2008.1947953035,0.0000000000,0.0000000000,0.0025705645,0.2896349849
2008.1957101220,2008.1957932873,0.0000000000,0.0000000000,0.0009148185,0.0760925619
2008.1975851220,2008.1976456059,0.0000000000,0.0000000000,0.0017918347,0.5110810838
2008.1986360293,2008.1987116341,0.0000000000,0.0000000000,0.0009904234,-0.0320449293
2008.2004051825,2008.2004830555,0.0000000000,0.0000000000,0.0016935484,0.6378327057
2008.2014129950,2008.2015339627,0.0000000000,0.0000000000,0.0009299395,0.1727708399
2008.2032048297,2008.2032728740,0.0000000000,0.0000000000,0.0016708669,0.6775658255
2008.2042406160,2008.2043389023,0.0000000000,0.0000000000,0.0009677419,0.2890614994
2008.2059870877,2008.2060574002,0.0000000000,0.0000000000,0.0016481855,0.6453112573
2008.2070100212,2008.2071158680,0.0000000000,0.0000000000,0.0009526210,0.4027570681
2008.2088245373,2008.2089077027,0.0000000000,0.0000000000,0.0017086694,0.6274416361
2008.2098527632,2008.2099661704,0.0000000000,0.0000000000,0.0009450605,0.4485953415
