start	end
2008-04-16 02:22:00	2008-04-16 02:28:00
2008-05-30 23:17:00	2008-05-30 23:23:30
2008-05-31 23:13:00	2008-05-31 23:19:30
2008-06-01 23:09:00	2008-06-01 23:15:30
2008-06-02 23:05:00	2008-06-02 23:11:00
2008-06-03 23:01:00	2008-06-03 23:07:00
2008-06-04 22:57:00	2008-06-04 23:03:00
2008-06-05 22:53:00	2008-06-05 22:59:00
2008-06-07 22:44:30	2008-06-07 22:51:00
2008-06-08 22:40:30	2008-06-08 22:47:00
2008-06-09 22:36:30	2008-06-09 22:43:00
2008-06-10 22:32:30	2008-06-10 22:39:00
2008-06-16 22:08:00	2008-06-16 22:14:30
2008-07-09 10:20:00	2008-07-10 11:29:00
2008-07-14 12:20:30	2008-07-14 16:44:00
2008-07-15 17:19:30	2008-07-16 01:23:30
2008-07-20 17:55:00	2008-07-20 21:06:30
2008-07-21 05:42:00	2008-07-24 03:47:00
2008-07-24 05:50:30	2008-07-24 08:00:30
2008-07-24 08:54:00	2008-07-24 10:39:00
2008-07-24 12:06:00	2008-07-26 12:42:30
2008-07-27 10:51:00	2008-07-27 11:25:30
2008-07-27 21:43:30	2008-07-28 00:43:00
2008-07-28 01:41:30	2008-07-28 02:19:30
2008-07-28 02:55:00	2008-07-28 04:09:00
2008-07-28 06:16:30	2008-07-28 06:51:00
2008-07-28 11:10:00	2008-07-28 13:42:30
2008-07-29 07:32:00	2008-07-29 07:42:30
2008-07-29 08:41:30	2008-07-29 08:46:30
2008-07-29 19:08:30	2008-07-29 19:24:30
2008-07-29 20:12:00	2008-07-29 21:37:00
2008-07-29 23:05:30	2008-07-29 23:31:30
2008-07-30 00:13:00	2008-07-30 01:21:30
2008-07-31 02:46:00	2008-07-31 07:09:00
2008-08-04 21:06:30	2008-08-06 01:30:00
2008-08-06 06:00:00	2008-08-11 04:44:30
2008-08-11 06:05:30	2008-08-11 06:16:00
2008-08-11 07:56:30	2008-08-11 07:59:30
2008-08-12 06:59:00	2008-08-25 17:01:30
2008-08-25 17:47:30	2008-08-25 17:53:00
2008-08-25 18:08:30	2008-08-25 18:12:30
2008-08-25 18:50:00	2008-08-25 18:55:30
2008-08-25 19:00:30	2008-08-25 19:03:30
2008-08-25 19:10:00	2008-08-25 19:29:30
2008-08-25 19:29:30	2008-08-25 19:53:00
2008-08-25 19:53:00	2008-08-25 20:02:30
2008-08-25 20:03:00	2008-08-26 12:13:30
2008-08-26 12:18:30	2008-08-26 12:26:30
2008-08-26 12:41:30	2008-08-26 12:45:00
2008-08-26 12:56:00	2008-08-26 12:59:00
2008-08-26 13:04:30	2008-08-26 13:08:00
2008-08-26 13:08:30	2008-08-26 13:12:00
2008-08-26 13:14:00	2008-08-26 13:38:00
2008-08-26 13:39:30	2008-08-26 13:51:30
2008-08-26 13:54:00	2008-08-26 14:01:00
2008-08-26 14:09:30	2008-08-26 14:13:00
2008-08-26 14:13:00	2008-08-26 14:17:30
2008-08-26 14:18:30	2008-08-26 14:22:30
2008-08-26 14:37:30	2008-08-26 14:41:00
2008-08-26 14:43:00	2008-08-26 14:50:00
2008-08-26 15:00:00	2008-08-26 15:03:00
2008-08-26 15:11:30	2008-08-26 15:17:30
2008-08-26 15:19:00	2008-08-26 15:22:30
2008-08-26 15:28:00	2008-08-26 15:31:00
2008-08-26 15:31:30	2008-08-26 15:38:00
2008-08-26 15:38:30	2008-08-26 15:42:00
2008-08-26 15:42:30	2008-08-26 15:51:00
2008-08-26 15:52:00	2008-08-26 15:56:30
2008-08-26 15:56:30	2008-08-26 16:07:00
2008-08-26 16:07:00	2008-08-26 16:14:30
2008-08-26 16:15:00	2008-08-26 16:25:30
2008-08-26 16:25:30	2008-08-26 16:59:00
2008-08-26 17:02:30	2008-08-26 18:45:00
2008-08-26 18:52:30	2008-08-26 19:27:00
2008-08-26 19:34:30	2008-08-26 23:18:30
2008-08-26 23:30:30	2008-08-26 23:48:30
2008-08-26 23:58:00	2008-08-30 04:02:30
2008-08-30 06:54:00	2008-08-30 07:03:30
2008-08-30 07:24:00	2008-08-30 15:32:30
2008-08-30 15:46:00	2008-08-30 16:23:30
2008-08-30 20:50:30	2008-08-31 05:02:30
2008-08-31 06:14:30	2008-08-31 06:26:00
2008-08-31 06:43:00	2008-08-31 07:28:00
2008-08-31 07:46:00	2008-09-01 08:10:00
2008-09-01 08:33:30	2008-09-01 09:36:30
2008-09-01 10:01:30	2008-09-03 01:44:00
2008-09-03 02:01:30	2008-09-03 02:15:30
2008-09-03 02:38:00	2008-09-03 02:57:00
2008-09-03 03:45:00	2008-09-03 03:48:00
2008-09-03 04:26:00	2008-09-03 04:30:00
2008-09-03 05:03:30	2008-09-03 05:06:30
2008-09-03 06:52:00	2008-09-03 06:55:30
2008-09-03 08:23:00	2008-09-03 15:05:00
2008-09-06 10:40:00	2008-09-06 18:10:30
2008-09-07 15:59:00	2008-09-07 21:31:30
2008-09-07 22:31:30	2008-09-08 17:57:30
2008-09-10 04:27:00	2008-09-10 12:32:00
2008-09-10 14:49:30	2008-09-10 17:15:00
