start	end
2017-06-23 01:05:30	2017-06-25 18:45:30
2017-06-25 19:09:30	2017-06-27 13:54:30
2017-06-27 14:19:30	2017-06-27 15:43:45
2017-06-27 16:04:00	2017-06-27 17:36:30
2017-06-27 17:54:30	2017-06-27 19:39:30
2017-06-27 19:54:00	2017-06-28 06:22:15
2017-06-28 06:48:15	2017-06-29 03:04:30
2017-06-29 03:17:30	2017-06-29 03:52:15
2017-06-29 04:05:00	2017-06-29 04:28:45
2017-06-29 04:36:15	2017-06-29 04:50:00
2017-06-29 04:56:45	2017-06-29 05:03:45
2017-06-29 05:07:00	2017-06-29 05:13:15
2017-06-29 05:15:30	2017-06-29 05:20:00
2017-06-29 05:20:30	2017-06-29 05:26:00
2017-06-29 05:26:15	2017-06-29 05:31:45
2017-06-29 05:32:00	2017-06-29 05:50:30
2017-06-29 05:55:45	2017-06-29 06:10:30
2017-06-29 06:15:30	2017-06-29 06:31:15
2017-06-29 06:35:15	2017-06-29 06:54:45
2017-06-29 06:58:00	2017-06-30 05:21:30
2017-06-30 05:40:15	2017-07-02 07:09:30
2017-07-02 07:17:15	2017-07-02 10:41:15
2017-07-02 10:53:45	2017-07-02 11:56:00
2017-07-02 12:18:00	2017-07-02 12:27:00
2017-07-02 12:32:30	2017-07-02 12:44:00
2017-07-02 12:59:15	2017-07-02 13:05:00
2017-07-02 13:08:45	2017-07-02 13:14:00
2017-07-02 13:15:30	2017-07-02 13:25:15
2017-07-02 13:29:15	2017-07-02 13:37:45
2017-07-02 13:41:45	2017-07-02 13:49:45
2017-07-02 13:53:00	2017-07-02 14:00:45
2017-07-02 14:04:00	2017-07-02 14:09:00
2017-07-02 14:11:15	2017-07-02 14:13:45
2017-07-02 14:24:00	2017-07-02 14:25:00
2017-07-02 14:27:30	2017-07-02 14:32:15
2017-07-02 14:38:00	2017-07-02 14:38:15
2017-07-02 14:47:00	2017-07-02 14:48:00
2017-07-02 14:52:15	2017-07-02 14:55:45
2017-07-02 14:57:00	2017-07-02 15:00:00
2017-07-02 15:14:30	2017-07-02 15:18:00
2017-07-02 15:20:00	2017-07-02 15:22:00
2017-07-02 15:23:30	2017-07-02 15:33:00
2017-07-02 15:41:30	2017-07-02 15:42:30
2017-07-02 15:42:30	2017-07-02 15:47:45
2017-07-02 15:48:45	2017-07-02 15:49:00
2017-07-02 15:52:15	2017-07-02 15:53:45
2017-07-02 15:53:45	2017-07-02 16:15:15
2017-07-02 16:32:00	2017-07-02 16:48:45
2017-07-02 16:56:15	2017-07-02 17:14:15
2017-07-02 17:29:00	2017-07-02 17:30:00
2017-07-02 17:49:15	2017-07-02 18:02:45
2017-07-02 18:07:45	2017-07-02 18:29:00
2017-07-02 18:37:30	2017-07-02 19:39:15
2017-07-02 19:54:30	2017-07-02 20:44:15
2017-07-02 21:02:00	2017-07-03 04:33:15
2017-07-03 04:57:00	2017-07-05 12:22:30
2017-07-05 12:39:15	2017-07-05 13:45:00
2017-07-05 13:58:00	2017-07-05 16:28:45
2017-07-05 16:51:30	2017-07-05 17:29:00
2017-07-05 17:43:30	2017-07-05 18:03:00
2017-07-05 18:12:15	2017-07-05 19:01:15
2017-07-05 19:13:45	2017-07-05 20:33:15
2017-07-05 20:50:15	2017-07-05 20:59:45
2017-07-05 21:03:30	2017-07-05 22:33:30
2017-07-05 22:49:15	2017-07-06 00:21:30
2017-07-06 00:25:15	2017-07-06 00:55:00
2017-07-06 01:18:45	2017-07-06 02:02:45
2017-07-06 02:13:00	2017-07-06 02:46:15
2017-07-06 03:05:45	2017-07-06 03:31:15
2017-07-06 03:45:00	2017-07-06 03:46:15
2017-07-06 03:58:00	2017-07-06 04:02:15
2017-07-06 04:10:00	2017-07-06 04:11:15
2017-07-06 04:15:15	2017-07-06 04:24:45
2017-07-06 04:34:00	2017-07-06 04:45:45
2017-07-06 04:54:15	2017-07-06 04:59:15
2017-07-06 05:01:45	2017-07-06 05:03:45
2017-07-06 05:08:15	2017-07-06 05:09:00
2017-07-06 05:10:30	2017-07-06 05:15:00
2017-07-06 05:17:30	2017-07-06 05:21:30
2017-07-06 05:26:00	2017-07-06 05:33:30
2017-07-06 05:37:00	2017-07-06 05:42:15
2017-07-06 05:42:45	2017-07-06 05:45:15
2017-07-06 05:48:15	2017-07-06 05:49:45
2017-07-06 05:51:30	2017-07-06 05:54:30
2017-07-06 05:56:00	2017-07-06 05:56:30
2017-07-06 05:57:30	2017-07-06 06:00:45
2017-07-06 06:03:15	2017-07-06 06:08:15
2017-07-06 06:10:00	2017-07-06 06:11:30
2017-07-06 06:11:30	2017-07-06 06:15:00
2017-07-06 06:17:00	2017-07-06 06:21:15
2017-07-06 06:21:15	2017-07-06 06:28:00
2017-07-06 06:29:00	2017-07-06 06:35:45
2017-07-06 06:40:45	2017-07-06 06:45:30
2017-07-06 06:46:45	2017-07-06 06:52:45
2017-07-06 06:54:00	2017-07-06 06:57:45
2017-07-06 06:58:00	2017-07-06 06:59:45
2017-07-06 07:09:00	2017-07-06 07:11:15
2017-07-06 07:11:30	2017-07-06 07:16:00
2017-07-06 07:18:45	2017-07-06 07:23:00
2017-07-06 07:24:00	2017-07-06 07:27:00
2017-07-06 07:31:30	2017-07-06 07:33:00
2017-07-06 07:33:30	2017-07-06 07:39:30
2017-07-06 07:42:45	2017-07-06 07:49:15
2017-07-06 07:50:00	2017-07-06 07:57:15
2017-07-06 08:01:00	2017-07-06 08:02:00
2017-07-06 08:03:00	2017-07-06 08:07:15
2017-07-06 08:07:30	2017-07-06 08:08:45
2017-07-06 08:11:45	2017-07-06 08:19:00
2017-07-06 14:59:30	2017-07-06 15:11:30
2017-07-06 15:20:15	2017-07-06 15:30:15
2017-07-06 15:34:00	2017-07-06 15:37:00
2017-07-06 15:44:15	2017-07-06 16:01:30
2017-07-06 16:09:00	2017-07-06 16:19:00
2017-07-06 16:33:30	2017-07-07 03:08:00
2017-07-07 03:27:45	2017-07-07 03:42:30
