sta,first_x,first_y,last_x,last_y
mg07,-185370.49,-558135.77,-185155.11,-558300.04
mg06,-189399.05,-570125.65,-189182.17,-570299.9
mg05,-185786.85,-565332.76,-185568.85,-565502.52
mg04,-182177.43,-560541.08,-181497.07,-561060.6
mg03,-180145.37,-557845.67,-179928.51,-558011.91
mg02,-179358.93,-556800.5,-179144.16,-556965.78
mg01,-178568.2,-555753.68,-178356.1,-555918.0
gz20,-155397.85,-605212.54,-154679.97,-605748.97
gz19,-173784.93,-590929.52,-173099.45,-591469.15
gz18,-168208.68,-587957.97,-167688.47,-588374.72
gz17,-173643.58,-598476.92,-173121.83,-598893.71
gz16,-161072.94,-600899.8,-160529.28,-601326.75
gz15,-165998.66,-597055.78,-165464.92,-597479.71
gz14,-170925.95,-593218.26,-170172.98,-593817.14
gz13,-180784.14,-585531.39,-180035.94,-586131.97
gz12,-175938.85,-589296.82,-174934.25,-590102.37
gz11,-160292.35,-611963.36,-160036.49,-612163.24
gz10,-166013.97,-613443.2,-165759.48,-613644.62
gz09,-171770.02,-614891.78,-171518.86,-615096.41
gz08,-163322.23,-600600.98,-163079.75,-600795.22
gz07,-168965.9,-602072.2,-168723.56,-602267.39
gz06,-174644.94,-603478.37,-174391.55,-603683.42
gz05,-156139.4,-604747.96,-155349.7,-605359.75
gz04,-161808.8,-606273.76,-161120.16,-606812.07
gz03,-167494.44,-607755.82,-166711.61,-608373.06
gz02,-173210.48,-609188.43,-172436.99,-609809.94
gz01,-178910.25,-610613.52,-178139.61,-611239.05
ws05,-276014.34,-562398.14,-275990.92,-562409.53
ws04,-271780.19,-563464.72,-271757.37,-563476.1
slw1,-278736.38,-560023.67,-277993.16,-560379.94
la18,-276934.1,-512590.12,-276237.7,-512858.55
la17,-295794.44,-502073.72,-295294.15,-502530.95
la16,-204169.77,-558269.31,-203500.32,-558791.56
la15,-234584.72,-554458.98,-234354.13,-554589.57
la14,-228625.97,-554442.93,-227442.61,-555175.32
la13,-267593.28,-556139.16,-266981.98,-556430.67
la12,-295755.02,-502146.76,-295380.1,-502490.78
la11,-280908.96,-562240.26,-280671.17,-562353.13
la10,-230181.55,-573562.95,-228620.65,-572837.77
la09,-291082.88,-504837.93,-288700.07,-506553.83
la08,-283166.08,-513009.86,-262938.38,-519742.54
la07,-254506.07,-529056.07,-252260.13,-529914.13
la06,-267906.8,-549690.18,-266451.92,-550362.72
la05,-268357.64,-519001.91,-231065.34,-585618.24
la04,-281407.01,-531427.6,-248620.92,-577319.42
la03,-274169.36,-565853.54,-273944.67,-565968.97
la02,-277977.03,-560376.66,-275018.96,-561779.79
la01,-269554.81,-555952.48,-282561.97,-560648.54
