StartTime,EndTime,XX,XX,XX,XX
2010.0018673896,2010.0019197107,1.0000000000,2.0000000000,0.0018455099,0.9468995894
2010.0028405633,2010.0028900304,1.0000000000,2.0000000000,0.0009208526,-1.3024901556
2010.0048211567,2010.0048725266,1.0000000000,2.0000000000,0.0019311263,0.7198917836
2010.0074571918,2010.0075028540,1.0000000000,2.0000000000,0.0025846652,0.9391177827
2010.0082608075,2010.0083515333,0.0000000000,0.0000000000,0.0007579535,-1.0961448323
2010.0100332953,2010.0100865677,1.0000000000,2.0000000000,0.0016817621,0.6142355491
2010.0110755756,2010.0111436200,0.0000000000,0.0000000000,0.0009890080,-0.8878837897
2010.0127197488,2010.0127701674,1.0000000000,2.0000000000,0.0015761288,0.2462495614
2010.0140382419,2010.0140962710,1.0000000000,2.0000000000,0.0012680745,-0.7445691423
2010.0155127474,2010.0155793378,1.0000000000,2.0000000000,0.0014164764,0.0112666435
2010.0183190638,2010.0183780441,1.0000000000,2.0000000000,0.0027397260,-0.1594613311
2010.0203786148,2010.0204309362,1.0000000000,2.0000000000,0.0020005707,0.3416460852
2010.0213023211,2010.0213641553,1.0000000000,2.0000000000,0.0008713849,-0.5238881791
2010.0230755326,2010.0231278540,1.0000000000,2.0000000000,0.0017113773,0.3209189757
2010.0240534627,2010.0241229071,1.0000000000,2.0000000000,0.0009256088,-0.5569685701
2010.0259332192,2010.0259845890,1.0000000000,2.0000000000,0.0018103121,0.4146926738
2010.0269140333,2010.0269896381,0.0000000000,0.0000000000,0.0009294442,-0.7202172380
2010.0288242008,2010.0288765222,1.0000000000,2.0000000000,0.0018345627,0.4879958001
2010.0298248196,2010.0299155454,0.0000000000,0.0000000000,0.0009482974,-0.9538376674
2010.0317018647,2010.0317551370,1.0000000000,2.0000000000,0.0017863193,0.5357165284
2010.0327140411,2010.0327949011,1.0000000000,2.0000000000,0.0009589041,-1.0814150612
2010.0346004567,2010.0346508751,1.0000000000,2.0000000000,0.0018055556,0.5666404855
2010.0356940232,2010.0357923095,0.0000000000,0.0000000000,0.0010431481,-1.1038216350
2010.0374480555,2010.0375486099,0.0000000000,0.0000000000,0.0016557460,0.5764314577
2010.0403400874,2010.0403990677,1.0000000000,6.0000000000,0.0027914775,0.5265489499
2010.0416490677,2010.0417118532,1.0000000000,6.0000000000,0.0012500000,-0.3562020545
2010.0431925419,2010.0432500951,1.0000000000,111.0000000000,0.0014806888,0.4462938070
2010.0458043189,2010.0458594940,1.0000000000,100.0000000000,0.0025542238,0.5026278101
2010.0470143647,2010.0470781011,1.0000000000,100.0000000000,0.0011548707,-0.7060287545
2010.0486534436,2010.0487171803,1.0000000000,100.0000000000,0.0015753425,0.3665925386
2010.0512343036,2010.0512875762,1.0000000000,100.0000000000,0.0025171233,0.3291621250
2010.0538874619,2010.0539550038,1.0000000000,100.0000000000,0.0025998858,0.2913026414
2010.0559746005,2010.0560440449,1.0000000000,100.0000000000,0.0020195967,0.0719799527
2010.0571342277,2010.0571970129,1.0000000000,100.0000000000,0.0010901827,-0.1770796684
2010.0586263318,2010.0586914953,1.0000000000,100.0000000000,0.0014293189,0.0234270834
2010.0598863203,2010.0599795471,1.0000000000,100.0000000000,0.0011948249,-0.2753324509
