start	end
2008-01-01 00:00:00	2008-01-25 00:00:00
2008-03-14 10:28:15	2008-03-14 12:14:00
2008-03-18 15:05:15	2008-03-18 17:23:45
2008-03-18 17:31:45	2008-03-18 17:36:00
2008-03-20 14:16:30	2008-03-20 14:20:45
2008-03-20 14:35:45	2008-03-20 14:41:15
2008-03-20 14:41:30	2008-03-20 14:44:15
2008-03-20 14:50:15	2008-03-20 14:52:45
2008-03-20 14:53:45	2008-03-21 00:00:30
2008-03-23 05:03:15	2008-03-23 05:06:45
2008-03-23 09:37:15	2008-03-23 09:42:15
2008-03-23 12:41:45	2008-03-23 12:46:00
2008-03-23 12:48:15	2008-03-23 12:53:45
2008-03-23 13:34:15	2008-03-23 13:41:15
2008-03-23 13:44:45	2008-03-23 14:57:45
2008-03-23 19:27:45	2008-03-23 19:30:15
2008-03-23 19:35:30	2008-03-23 19:52:45
2008-03-24 06:15:30	2008-03-24 06:20:00
2008-03-24 10:50:45	2008-03-25 00:02:00
2008-03-25 00:02:00	2008-03-25 00:26:00
2008-03-25 00:26:45	2008-03-25 02:53:00
2008-03-25 02:53:15	2008-03-25 03:03:15
2008-03-25 03:03:45	2008-03-25 03:11:45
2008-03-25 03:12:30	2008-03-25 03:35:45
2008-03-25 03:35:45	2008-03-25 07:49:15
2008-03-25 07:51:30	2008-03-25 08:26:15
2008-03-25 08:31:00	2008-03-25 08:49:30
2008-03-25 10:05:30	2008-11-15 00:01:15
2008-11-15 00:32:45	2008-11-15 05:27:15
2008-11-27 02:34:00	2008-12-08 08:39:30
2008-12-11 05:42:00	2008-12-11 05:49:15
2009-04-20 04:28:00	2009-04-20 04:32:30
2009-05-18 17:20:30	2009-09-14 00:00:30
2009-09-14 00:20:30	2009-09-14 19:56:30
2009-09-15 01:50:30	2009-09-16 00:00:30
2009-09-16 03:53:00	2009-09-16 18:09:00
2009-09-17 06:02:30	2009-09-18 00:00:30
2009-09-18 09:03:30	2009-09-18 17:25:30
2009-09-19 12:18:30	2009-09-20 00:00:30
2009-09-20 10:29:30	2009-09-20 17:18:45
2009-09-21 12:44:30	2009-09-22 00:00:30
2009-09-22 08:34:30	2009-09-22 17:23:00
2009-09-23 10:23:30	2009-09-24 00:00:30
2009-09-24 11:35:30	2009-09-24 16:51:30
2009-09-25 14:13:30	2009-09-26 00:00:30
2009-09-26 10:16:30	2009-09-26 16:29:30
2009-09-28 12:01:30	2009-09-29 00:00:30
2009-09-29 17:25:30	2009-09-29 17:28:45
2009-12-13 23:59:45	2009-12-15 00:00:30
2010-01-11 22:57:00	2010-01-12 00:00:30
2010-04-29 23:30:00	2010-04-29 23:33:00
2010-06-15 15:53:00	2010-06-16 12:19:30
2010-06-17 23:05:45	2010-06-18 02:52:00
2010-06-20 05:49:30	2010-06-23 21:52:00
2010-06-28 14:27:45	2010-07-01 04:16:00
2010-07-02 20:13:00	2010-07-02 22:28:30
2010-07-03 07:00:00	2010-07-03 15:41:30
2010-07-04 04:31:30	2010-07-04 07:04:00
2010-07-05 08:08:45	2010-07-05 19:29:30
2010-07-06 01:40:00	2010-07-06 21:29:00
2010-07-08 14:00:00	2010-07-09 01:23:30
2010-07-09 16:26:30	2010-07-09 21:57:00
2010-07-18 08:55:30	2010-07-19 13:05:30
2010-07-19 14:23:00	2010-07-20 02:14:00
2010-07-20 14:22:30	2010-07-21 21:27:00
2010-07-21 22:56:00	2010-07-23 10:00:30
2010-07-25 14:34:15	2010-07-26 09:08:30
2010-07-26 15:56:15	2010-07-29 00:51:30
2010-07-29 02:45:30	2010-07-29 06:39:00
2010-07-29 09:13:30	2010-07-29 10:27:15
2010-07-29 11:08:45	2010-07-29 11:28:15
2010-07-29 21:51:30	2010-08-03 00:48:00
2010-08-03 00:51:00	2010-08-03 01:18:45
2010-08-03 01:25:15	2010-08-03 01:37:00
2010-08-03 01:40:15	2010-08-03 02:19:15
2010-08-03 02:23:15	2010-08-03 02:28:30
2010-08-03 03:32:00	2010-08-03 04:16:30
2010-08-03 04:38:30	2010-08-03 04:44:00
2010-08-03 04:51:15	2010-08-03 05:49:30
2010-08-03 05:59:00	2010-08-03 06:15:30
2010-08-07 02:54:30	2010-08-07 21:45:45
2010-08-09 22:38:15	2010-08-10 05:02:00
2010-08-11 04:05:30	2010-08-11 07:01:30
2010-08-11 09:57:30	2010-08-11 15:58:30
2010-08-11 20:28:00	2010-08-12 23:34:00
2010-08-13 09:54:15	2010-08-15 23:57:00
2010-08-16 00:18:45	2010-08-16 01:19:30
2010-08-16 01:42:45	2010-08-16 01:51:45
2010-08-16 02:22:15	2010-08-16 04:58:30
